1,김재길,1,1,1
2,김동재,1,1,2
3,이현재,1,1,3
4,정동진,1,1,4
5,김진수,1,1,5
6,이재현,1,1,6
7,김재동,1,1,7
8,박재길,1,1,8
9,이수재,1,1,9
10,박동수,1,1,10
11,박동재,1,2,1
12,이재진,1,2,2
13,최길진,1,2,3
14,최길동,1,2,4
15,이재진,1,2,5
16,정명진,1,2,6
17,이석진,1,2,7
18,김재재,1,2,8
19,박재수,1,2,9
20,이석명,1,2,10
21,정현현,1,3,1
22,김수길,1,3,2
23,이석현,1,3,3
24,정현동,1,3,4
25,정수재,1,3,5
26,최석재,1,3,6
27,김재길,1,3,7
28,김명재,1,3,8
29,정길길,1,3,9
30,박동길,1,3,10
31,김현진,1,4,1
32,최길현,1,4,2
33,정석석,1,4,3
34,김동명,1,4,4
35,박명진,1,4,5
36,박수명,1,4,6
37,최진현,1,4,7
38,최동명,1,4,8
39,김재수,1,4,9
40,김동수,1,4,10
41,이명수,1,5,1
42,김재동,1,5,2
43,이길석,1,5,3
44,최진석,1,5,4
45,최석진,1,5,5
46,최수재,1,5,6
47,정수동,1,5,7
48,박진진,1,5,8
49,이길진,1,5,9
50,박명재,1,5,10
51,박진명,2,1,1
52,박재동,2,1,2
53,이재현,2,1,3
54,최수현,2,1,4
55,이진길,2,1,5
56,정석길,2,1,6
57,이현진,2,1,7
58,이수동,2,1,8
59,최현동,2,1,9
60,박석동,2,1,10
61,이길길,2,2,1
62,김동명,2,2,2
63,김현명,2,2,3
64,정동석,2,2,4
65,김재석,2,2,5
66,박재재,2,2,6
67,정명재,2,2,7
68,이진수,2,2,8
69,김현진,2,2,9
70,최명재,2,2,10
71,이동현,2,3,1
72,정현재,2,3,2
73,김재수,2,3,3
74,정석동,2,3,4
75,정현명,2,3,5
76,이진현,2,3,6
77,정석명,2,3,7
78,정동수,2,3,8
79,박동재,2,3,9
80,김진진,2,3,10
81,김동진,2,4,1
82,최진동,2,4,2
83,최석명,2,4,3
84,박재석,2,4,4
85,박진재,2,4,5
86,이석현,2,4,6
87,김석석,2,4,7
88,최명현,2,4,8
89,최동석,2,4,9
90,최석길,2,4,10
91,김명석,2,5,1
92,김진명,2,5,2
93,정석석,2,5,3
94,박길진,2,5,4
95,최수동,2,5,5
96,이동석,2,5,6
97,정명석,2,5,7
98,최석석,2,5,8
99,김석수,2,5,9
100,최재재,2,5,10
101,박동명,3,1,1
102,최석길,3,1,2
103,정수진,3,1,3
104,김재명,3,1,4
105,김수현,3,1,5
106,이수동,3,1,6
107,김수길,3,1,7
108,김동진,3,1,8
109,김진수,3,1,9
110,박길동,3,1,10
111,정명현,3,2,1
112,이진길,3,2,2
113,박길명,3,2,3
114,김재진,3,2,4
115,정수석,3,2,5
116,최재재,3,2,6
117,김수길,3,2,7
118,이동길,3,2,8
119,정수동,3,2,9
120,최재석,3,2,10
121,김석현,3,3,1
122,박동수,3,3,2
123,정현현,3,3,3
124,박재재,3,3,4
125,박길수,3,3,5
126,김석명,3,3,6
127,박현재,3,3,7
128,김길현,3,3,8
129,최동동,3,3,9
130,이수명,3,3,10
131,정길진,3,4,1
132,정동석,3,4,2
133,정현수,3,4,3
134,정진재,3,4,4
135,정명재,3,4,5
136,이석길,3,4,6
137,이석명,3,4,7
138,박석진,3,4,8
139,최현재,3,4,9
140,김길명,3,4,10
141,김수동,3,5,1
142,김동진,3,5,2
143,박동명,3,5,3
144,정수동,3,5,4
145,이진동,3,5,5
146,김수현,3,5,6
147,박길석,3,5,7
148,박수수,3,5,8
149,최진명,3,5,9
150,이수현,3,5,10
